ZIP,rent_index,weighted_income,median_income_2025,annual_rent,rent_burden,rent_burden_bin
11358,2367.7911984196908,81377.2088880359,86259.84142131805,28413.49438103629,34.91578879306298,30-39%
11360,2993.736213464602,114327.23251503092,121186.86646593278,35924.83456157522,31.42281481960309,30-39%
11361,2702.052179384914,104146.86133264466,110395.67301260335,32424.626152618966,31.133560567951097,30-39%
11364,2773.96894933037,93423.12808216734,99028.51576709739,33287.62739196444,35.631034921767295,30-39%
11372,2444.813095973177,75416.65446294963,79941.65373072661,29337.757151678125,38.900899755625,30-39%
11373,2427.7620471403493,72975.55613464868,77354.0895027276,29133.14456568419,39.92178492196762,30-39%
11374,2665.440584583569,86420.26430204911,91605.48016017205,31985.28701500283,37.01132746274698,30-39%
11375,3004.2793083235233,112283.32408693554,119020.32353215167,36051.35169988228,32.10748523259738,30-39%
11377,2680.5400122083097,73110.1942081414,77496.80586062989,32166.480146499714,43.99725714709936,40-49%
11378,2449.8884795350373,68618.95125370868,72736.0883289312,29398.66175442045,42.8433562700822,40-49%
11379,2651.7641673430044,90035.31114918877,95437.4298181401,31821.170008116052,35.34298888064959,30-39%
11385,3202.6843910607236,85488.76210843924,90618.0878349456,38432.21269272868,44.95586524457902,40-49%
11415,2339.2014258523927,93259.53958780336,98855.11196307157,28070.417110228715,30.099244789644885,30-39%
11432,2705.3524120192214,88896.12524158931,94229.89275608468,32464.228944230657,36.519284564995345,30-39%
11435,2326.4212630932325,81239.91296602899,86114.30774399074,27917.05515711879,34.36371869181161,30-39%
