GEOID,total_2023,white_2023,black_2023,asian_2023,hispanic_2023,total_2013,white_2013,black_2013,asian_2013,hispanic_2013,geometry,pct_change_white,pct_change_black,pct_change_asian,pct_change_hispanic
36005039000,3093,79,1537,56,846,3213,54,2627,20,388,"list(list(c(-73.86395, -73.862803, -73.859941, -73.857056, -73.8586, -73.86148, -73.864466, -73.86395, 40.881434, 40.883574, 40.882665, 40.881745, 40.878954, 40.879818, 40.880545, 40.881434)))",46.2962962962963,-41.49219642177388,180,118.04123711340206
36005002702,5156,8,1520,0,3573,4723,83,1459,0,3119,"list(list(c(-73.916589, -73.916184, -73.914332, -73.913396, -73.912543, -73.909127, -73.911476, -73.913478, -73.914997, -73.914495, -73.917479, -73.916589, 40.808133, 40.80879, 40.808007, 40.807609, 40.807243, 40.806166, 40.805171, 40.804263, 40.804872, 40.805561, 40.806823, 40.808133)))",-90.36144578313252,4.180945853324195,0,14.555947419044566
36005024100,6284,403,1573,137,3901,6278,65,1619,58,4467,"list(list(c(-73.908418, -73.907333, -73.90557, -73.904727, -73.903951, -73.902988, -73.903768, -73.904752, -73.90605, -73.906993, -73.907648, -73.909215, -73.908418, 40.852644, 40.853816, 40.855787, 40.85537, 40.854974, 40.854773, 40.853913, 40.852826, 40.851401, 40.850371, 40.85086, 40.851801, 40.852644)))",520,-2.8412600370599135,136.20689655172413,-12.670696216700247
36005005200,1787,0,523,0,1245,1985,9,740,60,1171,"list(list(c(-73.884531, -73.883832, -73.881981, -73.881046, -73.880427, -73.87993, -73.884411, -73.884531, 40.825647, 40.828271, 40.828356, 40.828432, 40.82578, 40.823641, 40.82297, 40.825647)))",-100,-29.324324324324323,-100,6.319385140905209
36005044200,4055,9,2893,13,640,4096,205,3131,0,760,"list(list(c(-73.849857, -73.84939, -73.848653, -73.847088, -73.844949, -73.844911, -73.842374, -73.841386, -73.840999, -73.844569, -73.845471, -73.846802, -73.846936, -73.847473, -73.850375, -73.849857, 40.904087, 40.905735, 40.906778, 40.906136, 40.905556, 40.90419, 40.904166, 40.904174, 40.902812, 40.902037, 40.901838, 40.901552, 40.90152, 40.902096, 40.903428, 40.904087)))",-95.60975609756098,-7.601405301820504,0,-15.789473684210526
36005040701,2779,221,561,84,1889,3142,161,715,43,2114,"list(list(c(-73.893071, -73.890987, -73.889804, -73.889372, -73.887851, -73.888673, -73.890422, -73.890976, -73.89193, -73.893071, 40.871396, 40.871764, 40.872401, 40.873382, 40.872121, 40.871497, 40.870491, 40.870159, 40.870729, 40.871396)))",37.267080745341616,-21.53846153846154,95.34883720930233,-10.64333017975402
36005032400,2963,285,706,467,1286,2749,276,623,7,1816,"list(list(c(-73.861756, -73.861707, -73.861645, -73.861562, -73.860551, -73.859613, -73.858712, -73.858061, -73.857566, -73.857353, -73.856638, -73.861791, -73.861756, 40.859645, 40.861242, 40.863106, 40.86555, 40.86553, 40.865512, 40.864252, 40.863042, 40.861164, 40.859712, 40.858119, 40.857983, 40.859645)))",3.260869565217391,13.32263242375602,6571.428571428572,-29.185022026431717
36005014900,4755,164,1675,0,2599,4138,55,1383,6,2560,"list(list(c(-73.904506, -73.903435, -73.901856, -73.901212, -73.898453, -73.898999, -73.899449, -73.900742, -73.902275, -73.903731, -73.904506, 40.830625, 40.832216, 40.834622, 40.835498, 40.834721, 40.833892, 40.833218, 40.831269, 40.829637, 40.830382, 40.830625)))",198.1818181818182,21.11352133044107,-100,1.5234375
36005037200,2069,63,900,68,846,2364,24,1370,125,801,"list(list(c(-73.865294, -73.864975, -73.86462, -73.86213, -73.860512, -73.861135, -73.861321, -73.861379, -73.863332, -73.864266, -73.865209, -73.866297, -73.865294, 40.873335, 40.87493, 40.876804, 40.876011, 40.875494, 40.874477, 40.873123, 40.871336, 40.871375, 40.871389, 40.871407, 40.873212, 40.873335)))",162.5,-34.306569343065696,-45.6,5.617977528089888
36005007700,1996,21,318,0,1653,1866,14,420,0,1418,"list(list(c(-73.905659, -73.904897, -73.903793, -73.901292, -73.901602, -73.904999, -73.905313, -73.906997, -73.905659, 40.821557, 40.821371, 40.821091, 40.820475, 40.819695, 40.81806, 40.817925, 40.81834, 40.821557)))",50,-24.285714285714285,0,16.572637517630465
36047060600,2766,1789,30,327,286,2628,1748,65,522,267,"list(list(c(-73.96035, -73.959347, -73.958195, -73.957126, -73.956193, -73.954341, -73.954213, -73.953252, -73.953417, -73.952454, -73.952675, -73.951889, -73.951238, -73.95398, -73.956676, -73.960261, -73.96035, 40.587307, 40.587417, 40.587544, 40.587661, 40.587762, 40.587967, 40.587383, 40.587195, 40.588068, 40.588173, 40.587157, 40.585936, 40.584925, 40.585712, 40.585358, 40.585039, 40.587307)))",2.345537757437071,-53.84615384615385,-37.35632183908046,7.116104868913857
36047005602,1781,1227,35,215,292,1854,1108,0,192,529,"list(list(c(-74.037068, -74.034579, -74.032637, -74.034871, -74.0360156740183, -74.0387394203901, -74.037068, 40.613819, 40.61486, 40.61401, 40.611366, 40.6102686519633, 40.6132487836811, 40.613819)))",10.740072202166065,0,11.979166666666666,-44.801512287334596
36047015300,2630,1752,87,261,365,2949,2146,132,283,332,"list(list(c(-73.983435, -73.982932, -73.982428, -73.981927, -73.979563, -73.977208, -73.977717, -73.978212, -73.978715, -73.979224, -73.981582, -73.983943, -73.983435, 40.668642, 40.669245, 40.669847, 40.670448, 40.669313, 40.668169, 40.66757, 40.666963, 40.666361, 40.665749, 40.666888, 40.66803, 40.668642)))",-18.35973904939422,-34.09090909090909,-7.773851590106007,9.939759036144578
36047020000,2118,878,8,904,318,2169,1068,0,643,458,"list(list(c(-74.010257, -74.00963, -74.009002, -74.007839, -74.005637, -74.007426, -74.0098, -74.012002, -74.010257, 40.621032, 40.621634, 40.622235, 40.623355, 40.622024, 40.620303, 40.618024, 40.619353, 40.621032)))",-17.790262172284645,0,40.59097978227061,-30.56768558951965
36047020500,3542,2268,277,466,280,2680,1528,664,153,228,"list(list(c(-73.96886, -73.968542, -73.968227, -73.965341, -73.962229, -73.962547, -73.962865, -73.963183, -73.963331, -73.966296, -73.969178, -73.96886, 40.677665, 40.678543, 40.679422, 40.678818, 40.678166, 40.677287, 40.676406, 40.675529, 40.675561, 40.67618, 40.676785, 40.677665)))",48.42931937172775,-58.28313253012048,204.5751633986928,22.80701754385965
36047022800,3683,2011,77,992,336,3646,1820,24,935,846,"list(list(c(-73.984088, -73.982921, -73.982337, -73.982994, -73.98042, -73.979874, -73.979386, -73.979681, -73.980266, -73.982466, -73.984672, -73.984088, 40.639297, 40.640416, 40.640976, 40.641325, 40.642385, 40.639518, 40.636932, 40.636639, 40.636076, 40.637406, 40.638735, 40.639297)))",10.494505494505495,220.83333333333334,6.096256684491979,-60.283687943262414
36047023100,3546,1723,926,168,457,3324,1618,1139,140,210,"list(list(c(-73.962836, -73.960006, -73.959714, -73.959568, -73.959276, -73.958841, -73.959785, -73.961671, -73.962107, -73.962547, -73.962836, 40.688555, 40.688881, 40.687416, 40.686683, 40.685217, 40.683018, 40.682909, 40.682691, 40.684891, 40.687089, 40.688555)))",6.489493201483313,-18.700614574187885,20,117.61904761904762
36047017400,2038,853,0,973,212,1981,998,0,753,174,"list(list(c(-74.0147547444581, -74.01237, -74.010823, -74.008369, -74.00978, -74.010017, -74.0111501538045, -74.0115363536112, -74.0115497330946, -74.0128971971247, -74.013833300775, -74.0146623577709, -74.0147547444581, 40.6021604387313, 40.605214, 40.606701, 40.605217, 40.603861, 40.60247, 40.6008692908663, 40.6010076258685, 40.6010124183381, 40.601495073783, 40.6018303818237, 40.602127346243, 40.6021604387313)))",-14.529058116232465,0,29.216467463479415,21.839080459770116
36047018000,3027,1464,0,1059,464,2907,1537,0,829,531,"list(list(c(-74.009078, -74.006014, -74.003425, -74.004855, -74.006625, -74.008369, -74.010823, -74.009078, 40.608378, 40.611325, 40.609969, 40.608594, 40.606895, 40.605217, 40.606701, 40.608378)))",-4.749512036434613,0,27.744270205066346,-12.617702448210922
36047018300,2879,1707,247,163,204,2757,1284,648,286,398,"list(list(c(-73.973855, -73.972911, -73.971872, -73.969831, -73.969103, -73.970131, -73.971142, -73.972136, -73.973126, -73.97354, -73.973855, 40.693287, 40.693251, 40.69321, 40.693135, 40.689468, 40.689506, 40.689544, 40.689582, 40.689622, 40.691707, 40.693287)))",32.94392523364486,-61.882716049382715,-43.00699300699301,-48.743718592964825
36047006800,3914,1966,220,606,878,5336,2929,97,898,1387,"list(list(c(-74.029357, -74.029134, -74.028658, -74.028279, -74.025666, -74.025472, -74.02291, -74.023235, -74.023518, -74.024238, -74.026951, -74.029633, -74.029357, 40.634837, 40.635373, 40.636546, 40.637468, 40.636667, 40.63714, 40.636108, 40.635318, 40.634616, 40.632859, 40.633516, 40.634153, 40.634837)))",-32.87811539774667,126.80412371134021,-32.516703786191535,-36.69790915645277
36047010200,4561,464,52,3119,887,5321,386,64,3525,1318,"list(list(c(-74.01498, -74.013814, -74.011611, -74.009409, -74.010572, -74.011154, -74.01176, -74.013961, -74.016167, -74.01498, 40.640626, 40.641745, 40.640416, 40.639085, 40.637965, 40.637404, 40.636823, 40.638153, 40.639483, 40.640626)))",20.207253886010363,-18.75,-11.5177304964539,-32.701062215478
36047012100,2057,1051,59,173,664,1980,1048,36,129,695,"list(list(c(-73.993379, -73.992369, -73.987715, -73.988726, -73.989047, -73.989222, -73.989723, -73.994384, -73.993379, 40.672604, 40.673813, 40.671557, 40.670342, 40.669958, 40.669749, 40.669146, 40.671403, 40.672604)))",0.2862595419847328,63.888888888888886,34.10852713178294,-4.460431654676259
36047014000,1910,1319,158,324,97,1873,1493,0,113,224,"list(list(c(-74.022933, -74.020686, -74.019705, -74.019075, -74.016406, -74.018152, -74.020526, -74.021216, -74.022933, 40.619502, 40.621835, 40.622185, 40.623615, 40.622014, 40.620336, 40.618058, 40.618472, 40.619502)))",-11.654387139986603,0,186.72566371681415,-56.69642857142857
36047025100,3687,930,2055,83,396,3560,246,2684,94,361,"list(list(c(-73.951464, -73.948185, -73.947893, -73.947748, -73.947602, -73.947456, -73.94731, -73.95059, -73.950883, -73.951175, -73.951464, 40.689864, 40.690242, 40.688776, 40.688044, 40.687311, 40.686578, 40.685846, 40.685467, 40.686933, 40.6884, 40.689864)))",278.0487804878049,-23.435171385991058,-11.702127659574469,9.695290858725762
36047025901,2163,812,708,81,443,1750,304,675,37,710,"list(list(c(-73.949207, -73.946366, -73.943526, -73.943388, -73.943243, -73.946078, -73.948914, -73.949207, 40.695378, 40.695704, 40.696031, 40.695289, 40.694558, 40.69423, 40.693905, 40.695378)))",167.10526315789474,4.888888888888889,118.91891891891892,-37.605633802816904
36047028800,3799,1003,0,1661,1072,2907,1237,6,1176,404,"list(list(c(-73.998254, -73.997044, -73.996465, -73.995882, -73.995303, -73.993104, -73.994265, -73.994847, -73.995429, -73.996055, -73.997824, -74.000022, -73.998254, 40.604608, 40.605769, 40.606328, 40.606886, 40.607445, 40.606116, 40.604996, 40.604437, 40.603877, 40.603275, 40.601578, 40.602907, 40.604608)))",-18.916734033953112,-100,41.24149659863946,165.34653465346534
36047030600,1953,755,12,869,274,2216,1171,0,883,124,"list(list(c(-73.989621, -73.987988, -73.986019, -73.984678, -73.98464, -73.984204, -73.984094, -73.983803, -73.983723, -73.984505, -73.985962, -73.987421, -73.988163, -73.989621, 40.590982, 40.592553, 40.594446, 40.593659, 40.593552, 40.591166, 40.590567, 40.589042, 40.588619, 40.58789, 40.588771, 40.589651, 40.590101, 40.590982)))",-35.52519214346712,0,-1.5855039637599093,120.96774193548387
36047032600,10085,1023,4357,1655,2903,6815,887,3524,1204,1185,"list(list(c(-73.992638, -73.990504, -73.986276, -73.984149, -73.983435, -73.985573, -73.989686, -73.991743, -73.992195, -73.992638, 40.578118, 40.578358, 40.578823, 40.579053, 40.575414, 40.57515, 40.574004, 40.57343, 40.575808, 40.578118)))",15.332581736189402,23.637911464245175,37.458471760797345,144.9789029535865
