Latitude,Longitude,Neighborhood,Full Address,ZIP Code
40.75970188,-73.99180117,Hell's Kitchen,"9 Avenue & West 44 St, New York, NY 10036, USA",10036
40.82460081,-73.95069718,Hamilton Heights,"530 W 143rd St, New York, NY 10031, USA",10031
40.85830104,-73.92959858,Fort George,"37 Hillside Ave, New York, NY 10040, USA",10040
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.76850079,-73.95879766,Lenox Hill,"1357 2nd Ave, New York, NY 10021, USA",10021
40.76509972,-73.96379729,Lenox Hill,"200-210 E 65th St, New York, NY 10021, USA",10021
40.75970188,-73.99180117,Hell's Kitchen,"9 Avenue & West 44 St, New York, NY 10036, USA",10036
40.82009622,-73.95507515,Hamilton Heights,"W 135 St/Broadway, New York, NY 10031, USA",10031
40.79417904,-73.94486447,East Harlem,"East 109th Street and, Lexington Ave in, New York, NY 10029, USA",10029
40.83028341,-73.94782838,Hamilton Heights,"3661 Broadway, New York, NY 10031, USA",10031
40.78160147,-73.95109997,Yorkville,"Ruppert Yorkville Towers Condominium, 1619 3rd Ave, New York, NY 10128, USA",10128
40.80649363,-73.95579937,Central Harlem,"207 W 118th St, New York, NY 10026, USA",10026
40.7152014,-73.98770166,Lower East Side,"200 E Broadway, New York, NY 10002, USA",10002
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.83819939,-73.94200255,Washington Heights,"Broadway/W 164 St, New York, NY 10032, USA",10032
40.81159925,-73.95500009,West Harlem,"430 Martin Luther King Blvd, New York, NY 10027, USA",10027
40.81680056,-73.94819736,West Harlem,"135 St, New York, NY 10032, USA",10032
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.79859483,-73.93351933,East Harlem,"2339 1st Ave, New York, NY 10035, USA",10035
40.87290058,-73.82780174,East Bronx,"15B Broun Pl, Bronx, NY 10475, USA",10475
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.81853548,-73.94735053,West Harlem,"135 St, New York, NY 10032, USA",10032
40.75970188,-73.99180117,Hell's Kitchen,"9 Avenue & West 44 St, New York, NY 10036, USA",10036
40.82649959,-73.93830066,Central Harlem,"40 Macombs Pl, New York, NY 10039, USA",10039
40.86619984,-73.92209799,Inwood,"103 Vermilyea Ave, New York, NY 10034, USA",10034
40.86536332,-73.92438982,Inwood,"624 Academy St, New York, NY 10034, USA",10034
40.79179898,-73.94470003,East Harlem,"1924 3rd Ave, New York, NY 10029, USA",10029
40.72620161,-73.97960233,Alphabet City,"605 E 9th St, New York, NY 10009, USA",10009
40.69683867,-73.95610647,Bedford-Stuyvesant,"515 Park Ave, Brooklyn, NY 11205, USA",11205
40.74430135,-73.97810003,Kips Bay,"209 E 32nd St, New York, NY 10016, USA",10016
40.83819939,-73.94200255,Washington Heights,"Broadway/W 164 St, New York, NY 10032, USA",10032
40.71850049,-74.00249715,Chinatown,"73 Walker St, New York, NY 10013, USA",10013
40.72909448,-73.98333171,Ukrainian Village,"406 E 11th St, New York, NY 10009, USA",10009
40.77640016,-73.98269687,Lincoln Square,"199 Amsterdam Ave, New York, NY 10023, USA",10023
40.85556861,-73.93795231,Hudson Heights,"The Paterno Trivium, Cabrini Blvd, New York, NY 10040, USA",10040
40.82460081,-73.95069718,Hamilton Heights,"530 W 143rd St, New York, NY 10031, USA",10031
40.83819939,-73.94200255,Washington Heights,"Broadway/W 164 St, New York, NY 10032, USA",10032
40.78193952,-73.98324978,Upper West Side,"301 W 75th St, New York, NY 10023, USA",10023
40.81159925,-73.95500009,West Harlem,"430 Martin Luther King Blvd, New York, NY 10027, USA",10027
40.71772871,-73.9912752,Lower East Side,"73 Allen St, New York, NY 10002, USA",10002
40.82649959,-73.93830066,Central Harlem,"40 Macombs Pl, New York, NY 10039, USA",10039
40.82460081,-73.95069718,Hamilton Heights,"530 W 143rd St, New York, NY 10031, USA",10031
40.72550146,-73.99829679,SoHo,"163 Mercer St, New York, NY 10012, USA",10012
40.72550146,-73.99829679,SoHo,"163 Mercer St, New York, NY 10012, USA",10012
40.85830104,-73.92959858,Fort George,"37 Hillside Ave, New York, NY 10040, USA",10040
40.77502392,-74.02631901,,"412 38th St, Union City, NJ 07087, USA",07087
40.77502392,-74.02631901,,"412 38th St, Union City, NJ 07087, USA",07087
40.74839972,-73.9966971,Chelsea,"357A 8th Ave, New York, NY 10001, USA",10001
40.7338993,-74.00540033,West Village,"232 W 10th St, New York, NY 10014, USA",10014
40.83819939,-73.94200255,Washington Heights,"Broadway/W 164 St, New York, NY 10032, USA",10032
40.73143329,-73.99712911,Greenwich Village,"14 Washington Square N, New York, NY 10011, USA",10011
40.85118032,-73.9392363,Hudson Heights,"817W W 181st St, New York, NY 10033, USA",10033
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.84614001,-73.9342298,Washington Heights,"228 Audubon Ave, New York, NY 10033, USA",10033
40.82264416,-73.95321762,Hamilton Heights,"3421 Broadway # 1, New York, NY 10031, USA",10031
40.79179898,-73.94470003,East Harlem,"1924 3rd Ave, New York, NY 10029, USA",10029
40.80110152,-73.93709803,East Harlem,"207 E 121st St, New York, NY 10035, USA",10035
40.73289548,-73.97495106,Stuyvesant Town-Peter Cooper Village,"Av C/E 20 St, New York, NY 10010, USA",10010
40.80708836,-73.94176992,East Harlem,"68 E 126th St, New York, NY 10035, USA",10035
40.76509972,-73.98579772,Hell's Kitchen,"354 W 54th St, New York, NY 10019, USA",10019
40.86379227,-73.91941483,Inwood,"207 St, New York, NY 10034, USA",10034
40.79039867,-73.94775332,East Harlem,"103 St, New York, NY 10029, USA",10029
40.76509972,-73.96379729,Lenox Hill,"200-210 E 65th St, New York, NY 10021, USA",10021
40.71563169,-73.99848816,Chinatown,"50 Mott St, New York, NY 10013, USA",10013
40.74020012,-73.99960142,Chelsea,"212 W 16th St, New York, NY 10011, USA",10011
40.74430135,-73.97810003,Kips Bay,"209 E 32nd St, New York, NY 10016, USA",10016
40.74569478,-73.98777156,NoMad,"10 W 29th St, New York, NY 10001, USA",10001
40.78639942,-73.97639892,Central Park West Historic District,"494 Amsterdam Ave, New York, NY 10024, USA",10024
40.82725361,-73.94706348,Hamilton Heights,"506-508 W 148th St, New York, NY 10031, USA",10031
40.73154616,-73.87492294,Elmhurst,"86-05 58th Ave, Elmhurst, NY 11373, USA",11373
40.81159925,-73.95500009,West Harlem,"430 Martin Luther King Blvd, New York, NY 10027, USA",10027
40.89039928,-73.85030008,East Bronx,"949 E 232nd St, Bronx, NY 10466, USA",10466
40.72620161,-73.97960233,Alphabet City,"605 E 9th St, New York, NY 10009, USA",10009
